order_id,customer_id,order_date,category,order_value,payment_method,delivery_days,order_hour,is_weekend,account_age_days_at_order,hist_orders_before,hist_return_rate_before,hist_abusive_return_rate_before,hist_chargebacks_before,price_vs_category_avg,is_returned,return_reason,days_to_return,device_fingerprint,address_fingerprint,payment_fingerprint,is_abusive_return,_behavior_type
ORD3187d28715,CUST100008,2025-01-26,apparel,1195.68,COD,4,16,1,427,1,0.0,0.0,0,0.854,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORD76c4b9afe5,CUST100008,2025-03-05,home,787.22,card,2,18,0,465,2,0.0,0.0,0,0.437,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORDc7311f438e,CUST100008,2025-04-02,apparel,1509.91,COD,3,15,0,493,3,0.0,0.0,0,1.079,1,size_issue,26.0,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORD0d4addf8b5,CUST100008,2025-07-23,accessories,1704.34,COD,3,22,0,605,4,0.25,0.0,0,1.894,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORD20016be5be,CUST100008,2025-07-25,home,2528.63,UPI,5,4,0,607,5,0.2,0.0,0,1.405,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORDdb26852dc8,CUST100008,2025-09-09,accessories,534.41,UPI,4,7,0,653,6,0.1667,0.0,0,0.594,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORD22e48e131b,CUST100008,2025-09-20,mobile,15742.32,card,7,15,1,664,7,0.1429,0.0,0,1.124,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORD450362e474,CUST100008,2025-09-30,accessories,411.95,UPI,1,1,0,674,8,0.125,0.0,0,0.458,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
ORDd561170ad7,CUST100009,2025-01-19,apparel,1612.92,UPI,3,0,1,0,0,0.0,0.0,0,1.152,0,,,dbcf9e480ca1,3b769a5eeac8,bcc93c3be53c,0,normal
ORD98a1479c91,CUST100010,2025-11-27,accessories,1931.63,card,5,20,0,185,0,0.0,0.0,0,2.146,0,,,db8de6aaf71b,177cefeef808,a1509c40e74b,0,normal
ORD3573f2b34d,CUST100011,2025-04-28,apparel,1153.42,wallet,6,0,0,502,0,0.0,0.0,0,0.824,1,damaged,13.0,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,0,serial_abuser
ORDf50305a6cd,CUST100011,2025-05-20,electronics,7411.23,UPI,2,8,0,524,1,1.0,0.0,0,1.14,0,,,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,0,serial_abuser
ORD01581292f1,CUST100011,2025-09-07,apparel,874.95,COD,3,10,1,634,2,0.5,0.0,0,0.625,0,,,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,0,serial_abuser
ORDb848b16d3b,CUST100011,2025-10-29,electronics,5444.49,card,3,9,0,686,3,0.3333,0.0,0,0.838,0,,,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,0,serial_abuser
ORD05300efabf,CUST100011,2025-11-20,apparel,1932.58,wallet,1,11,0,708,4,0.25,0.0,0,1.38,0,,,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,0,serial_abuser
ORDdaae04a3f1,CUST100012,2025-04-27,footwear,2923.95,card,3,2,1,678,0,0.0,0.0,0,1.329,0,,,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORDf5fe443623,CUST100012,2025-10-29,mobile,13340.41,COD,2,7,0,863,1,0.0,0.0,0,0.953,0,,,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORDc519d2a23c,CUST100012,2025-10-31,beauty,558.6,UPI,6,2,0,865,2,0.0,0.0,0,0.798,0,,,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORD857bd00fca,CUST100012,2025-11-20,accessories,225.0,UPI,3,2,0,885,3,0.0,0.0,0,0.25,1,changed_mind,29.0,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORDf8b8a38d41,CUST100012,2025-12-16,home,1568.47,UPI,1,10,0,911,4,0.25,0.0,0,0.871,0,,,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORDe6f23d8bdc,CUST100012,2025-12-19,beauty,620.62,card,7,18,0,914,5,0.2,0.0,0,0.887,0,,,07c20ea0850c,1f607d437e93,dc0e77dde4f9,0,normal
ORD0e3a999c2b,CUST100013,2025-01-15,apparel,1000.93,UPI,1,13,0,633,0,0.0,0.0,0,0.715,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORDb88e08f76a,CUST100013,2025-01-21,footwear,1354.77,UPI,4,6,0,639,1,0.0,0.0,0,0.616,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD3cc475b801,CUST100013,2025-02-07,apparel,2083.18,COD,5,15,0,656,2,0.0,0.0,0,1.488,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD201ea01abd,CUST100013,2025-03-17,home,718.34,COD,6,14,0,694,3,0.0,0.0,0,0.399,1,changed_mind,3.0,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD4ee9e8521f,CUST100013,2025-04-05,accessories,1579.35,UPI,6,21,1,713,4,0.25,0.0,0,1.755,1,wrong_item,24.0,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORDf2cf6e2c98,CUST100013,2025-05-11,mobile,12138.82,UPI,3,8,1,749,5,0.4,0.0,0,0.867,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORDa6b9673114,CUST100013,2025-06-04,apparel,636.68,UPI,4,18,0,773,6,0.3333,0.0,0,0.455,1,size_issue,26.0,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD3891740fd5,CUST100013,2025-07-06,electronics,4326.98,wallet,6,21,1,805,7,0.4286,0.0,0,0.666,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD2f11651d8f,CUST100013,2025-07-27,electronics,5887.48,COD,5,5,1,826,8,0.375,0.0,0,0.906,0,,,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORD959cad56fc,CUST100013,2025-10-04,electronics,4947.39,COD,1,23,1,895,9,0.3333,0.0,0,0.761,1,changed_mind,1.0,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORDdd5e863eb2,CUST100013,2025-12-28,footwear,2582.5,UPI,4,18,1,980,10,0.4,0.0,0,1.174,1,wrong_item,22.0,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,0,occasional_returner
ORDe6b86a8f49,CUST100014,2025-01-17,home,3047.66,wallet,5,4,0,1124,0,0.0,0.0,0,1.693,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD66cf122a12,CUST100014,2025-02-16,electronics,5908.11,card,7,12,1,1154,1,0.0,0.0,0,0.909,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD0ae96a1d47,CUST100014,2025-02-19,apparel,1414.05,COD,7,8,0,1157,2,0.0,0.0,0,1.01,1,not_as_described,13.0,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORDd1842126f2,CUST100014,2025-02-26,beauty,469.11,wallet,6,5,0,1164,3,0.3333,0.0,0,0.67,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD363c7831fc,CUST100014,2025-03-26,electronics,9173.63,COD,5,10,0,1192,4,0.25,0.0,0,1.411,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORDf5556087e7,CUST100014,2025-04-22,beauty,2275.44,COD,2,3,0,1219,5,0.2,0.0,0,3.251,1,damaged,14.0,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD867a45c8dd,CUST100014,2025-06-06,mobile,33247.99,COD,3,8,0,1264,6,0.3333,0.0,0,2.375,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD3f7dc2136c,CUST100014,2025-06-21,electronics,5824.96,COD,7,18,1,1279,7,0.2857,0.0,0,0.896,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD8242936053,CUST100014,2025-08-22,mobile,5812.57,UPI,4,0,0,1341,8,0.25,0.0,0,0.415,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD49728bd603,CUST100014,2025-09-03,electronics,3431.62,COD,2,18,0,1353,9,0.2222,0.0,0,0.528,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORDe16c9adb98,CUST100014,2025-09-12,electronics,9586.21,UPI,4,4,0,1362,10,0.2,0.0,0,1.475,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORDb43c5d8eeb,CUST100014,2025-09-29,mobile,10557.25,UPI,5,6,0,1379,11,0.1818,0.0,0,0.754,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD09beec0d40,CUST100014,2025-10-31,home,761.87,UPI,7,22,0,1411,12,0.1667,0.0,0,0.423,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD58f9eca0b2,CUST100014,2025-12-26,accessories,743.78,card,6,15,0,1467,13,0.1538,0.0,0,0.826,0,,,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,0,normal
ORD0594c74156,CUST100015,2025-03-26,electronics,3922.77,COD,5,10,0,1000,0,0.0,0.0,0,0.604,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD0cebc8b779,CUST100015,2025-04-05,home,1205.46,card,4,1,1,1010,1,0.0,0.0,0,0.67,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD4465a9d8cc,CUST100015,2025-05-12,accessories,1266.32,card,6,1,0,1047,2,0.0,0.0,0,1.407,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORDe3621b8339,CUST100015,2025-06-22,accessories,863.46,UPI,1,5,1,1088,3,0.0,0.0,0,0.959,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD6a68c43d03,CUST100015,2025-06-27,accessories,544.33,UPI,6,22,0,1093,4,0.0,0.0,0,0.605,1,damaged,16.0,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORDa5a66f6ed8,CUST100015,2025-07-18,home,1443.08,COD,1,1,0,1114,5,0.2,0.0,0,0.802,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORDce426315f5,CUST100015,2025-07-24,electronics,24068.14,UPI,7,4,0,1120,6,0.1667,0.0,0,3.703,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORDd818b3ef85,CUST100015,2025-09-06,home,2632.47,card,7,16,1,1164,7,0.1429,0.0,0,1.462,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD5198a44ebb,CUST100015,2025-09-29,beauty,1322.03,UPI,5,21,0,1187,8,0.125,0.0,0,1.889,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD559c1e93dc,CUST100015,2025-10-04,beauty,488.87,card,7,23,1,1192,9,0.1111,0.0,0,0.698,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORDae4679a006,CUST100015,2025-11-11,beauty,432.52,card,4,6,0,1230,10,0.1,0.0,0,0.618,0,,,7d9162ffda56,a21060de2f53,ff9ba7556f25,0,normal
ORD73081a4961,CUST100016,2025-04-24,beauty,1202.09,UPI,7,22,0,320,0,0.0,0.0,0,1.717,0,,,cc2b3a8af992,81f1ca361d06,bd3bb162e591,0,normal
ORDf1bb98bd68,CUST100016,2025-04-26,apparel,1726.11,UPI,1,10,1,322,1,0.0,0.0,0,1.233,1,changed_mind,30.0,cc2b3a8af992,81f1ca361d06,bd3bb162e591,0,normal
ORD2366247e5f,CUST100017,2025-01-02,footwear,1499.76,wallet,7,10,0,811,0,0.0,0.0,0,0.682,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD556f405b26,CUST100017,2025-03-09,mobile,8947.89,card,3,22,1,877,1,0.0,0.0,0,0.639,1,wrong_item,17.0,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD1d5df4d296,CUST100017,2025-03-22,footwear,1945.02,card,1,16,1,890,2,0.5,0.0,0,0.884,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDf3f4d7d7db,CUST100017,2025-04-14,accessories,487.02,UPI,4,18,0,913,3,0.3333,0.0,0,0.541,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDb56a645f5f,CUST100017,2025-04-19,electronics,5109.86,card,2,22,1,918,4,0.25,0.0,0,0.786,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDbc789476af,CUST100017,2025-04-19,accessories,975.64,COD,6,6,1,918,5,0.2,0.0,0,1.084,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDf5a21954a2,CUST100017,2025-06-30,apparel,1188.36,card,3,16,0,990,6,0.1667,0.0,0,0.849,1,damaged,8.0,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD37eeebd09b,CUST100017,2025-07-12,beauty,728.33,UPI,6,11,1,1002,7,0.2857,0.0,0,1.04,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDad3d8449a1,CUST100017,2025-08-11,mobile,9316.73,COD,2,23,0,1032,8,0.25,0.0,0,0.665,1,damaged,12.0,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD72ae7d4d66,CUST100017,2025-08-14,home,1696.26,UPI,2,1,0,1035,9,0.3333,0.0,0,0.942,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDbe76626ea9,CUST100017,2025-08-17,footwear,2114.27,card,5,6,1,1038,10,0.3,0.0,0,0.961,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDc0e1ceabb8,CUST100017,2025-08-17,accessories,752.86,COD,3,8,1,1038,11,0.2727,0.0,0,0.837,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDa16689933d,CUST100017,2025-10-04,home,1657.73,UPI,5,16,1,1086,12,0.25,0.0,0,0.921,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD72ad97aa1c,CUST100017,2025-10-28,apparel,695.18,COD,4,18,0,1110,13,0.2308,0.0,0,0.497,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDdd7dc84707,CUST100017,2025-11-29,accessories,786.73,COD,1,0,1,1142,14,0.2143,0.0,0,0.874,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORD0491977de6,CUST100017,2025-12-30,mobile,19210.94,UPI,4,22,0,1173,15,0.2,0.0,0,1.372,0,,,820f853e8369,6cb2507f8d72,c77a28bd1c45,0,normal
ORDe82b15017f,CUST100018,2025-05-07,beauty,1390.34,wallet,3,21,0,0,0,0.0,0.0,0,1.986,0,,,0f42bb1dda70,a2949812d647,c2e0d0d457a5,0,occasional_returner
ORDe48ea5095c,CUST100019,2025-01-24,footwear,1930.32,card,5,9,0,944,0,0.0,0.0,0,0.877,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD381125d9bd,CUST100019,2025-02-09,accessories,510.26,UPI,7,18,1,960,1,0.0,0.0,0,0.567,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD0ca7627786,CUST100019,2025-02-10,home,913.71,UPI,6,3,0,961,2,0.0,0.0,0,0.508,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD96a41d1294,CUST100019,2025-02-18,mobile,10751.04,UPI,2,22,0,969,3,0.0,0.0,0,0.768,1,no_longer_needed,5.0,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORDa8f63c3b27,CUST100019,2025-02-27,home,3162.25,COD,2,20,0,978,4,0.25,0.0,0,1.757,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD05b11614d7,CUST100019,2025-04-01,accessories,1257.99,UPI,4,16,0,1011,5,0.2,0.0,0,1.398,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORDc511149305,CUST100019,2025-05-06,beauty,1060.89,COD,7,7,0,1046,6,0.1667,0.0,0,1.516,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD32eb12914e,CUST100019,2025-05-08,mobile,11705.86,card,4,9,0,1048,7,0.1429,0.0,0,0.836,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD951b6e6cc8,CUST100019,2025-05-26,electronics,8516.75,COD,3,10,0,1066,8,0.125,0.0,0,1.31,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD8fa93a6525,CUST100019,2025-07-05,home,1263.35,UPI,1,9,1,1106,9,0.1111,0.0,0,0.702,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD7bb8bae91c,CUST100019,2025-08-27,mobile,21383.9,card,1,14,0,1159,10,0.1,0.0,0,1.527,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORDe166acfefc,CUST100019,2025-09-10,beauty,493.29,UPI,1,4,0,1173,11,0.0909,0.0,0,0.705,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD5ebbee1184,CUST100019,2025-09-11,home,1933.77,COD,1,10,0,1174,12,0.0833,0.0,0,1.074,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD2ea8faf6fe,CUST100019,2025-09-19,electronics,4734.89,COD,4,5,0,1182,13,0.0769,0.0,0,0.728,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD8ed5c51b08,CUST100019,2025-09-22,home,3009.13,UPI,4,8,0,1185,14,0.0714,0.0,0,1.672,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
ORD28ee6a7c2f,CUST100019,2025-10-29,home,1936.05,UPI,7,19,0,1222,15,0.0667,0.0,0,1.076,0,,,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,0,normal
