threshold,fp_count,fn_count,tp_count,fp_cost,fn_cost,total_cost,flag_rate
0.49,123,86,230,18450.0,450872.60000000003,469322.60000000003,0.13805240516229958
0.5,118,86,230,17700.0,450872.60000000003,468572.60000000003,0.13609698865858427
0.51,107,87,229,16050.0,458348.3600000001,474398.3600000001,0.13140398904966757
0.52,99,89,227,14850.0,475180.03,490030.03,0.127493156042237
0.53,97,90,226,14550.0,477556.60000000003,492106.60000000003,0.12631990614000782
0.54,89,92,224,13350.0,481270.39,494620.39,0.12240907313257723
0.55,85,93,223,12750.0,491361.76000000007,504111.76000000007,0.12045365662886194
0.56,80,95,221,12000.0,494464.56000000006,506464.56000000006,0.11771607352366054
0.5700000000000001,77,97,219,11550.0,497374.41000000003,508924.41000000003,0.11576065701994524
0.5800000000000001,75,97,219,11250.0,497374.41000000003,508624.41000000003,0.11497849041845913
0.59,72,97,219,10800.0,497374.41000000003,508174.41000000003,0.11380524051622996
0.6,71,98,218,10650.0,498347.99,508997.99,0.11302307391474384
0.61,70,98,218,10500.0,498347.99,508847.99,0.11263199061400078
0.62,69,100,216,10350.0,504914.93,515264.93,0.1114587407117716
0.63,68,101,215,10200.0,507851.6000000001,518051.6000000001,0.11067657411028549
0.64,67,101,215,10050.0,507851.6000000001,517901.6000000001,0.11028549080954243
0.65,66,102,214,9900.0,510952.99000000005,520852.99000000005,0.10950332420805632
0.66,64,104,212,9600.0,515434.96,525034.96,0.10793899100508408
0.67,62,104,212,9300.0,515434.96,524734.96,0.10715682440359797
0.68,59,105,211,8850.0,515975.6,524825.6,0.10559249120062573
0.6900000000000001,58,107,209,8700.0,520209.84,528909.8400000001,0.10441924129839655
0.7000000000000001,57,107,209,8550.0,520209.84,528759.8400000001,0.1040281579976535
0.7100000000000001,57,107,209,8550.0,520209.84,528759.8400000001,0.1040281579976535
0.72,53,109,207,7950.0,528123.07,536073.07,0.10168165819319515
0.73,52,110,206,7800.0,528811.4899999999,536611.4899999999,0.10089949159170904
0.74,50,112,204,7500.0,544644.3400000001,552144.3400000001,0.0993351583887368
0.75,47,115,201,7050.0,563145.96,570195.96,0.09698865858427845
0.76,45,116,200,6750.0,569404.28,576154.28,0.09581540868204928
0.77,45,118,198,6750.0,572368.91,579118.91,0.09503324208056316
0.78,43,118,198,6450.0,572368.91,578818.91,0.09425107547907705
0.79,39,119,197,5850.0,574409.82,580259.82,0.09229565897536175
0.8,37,120,196,5550.0,576928.62,582478.62,0.09112240907313257
0.81,37,124,192,5550.0,590480.07,596030.07,0.08955807587016035
0.8200000000000001,35,126,190,5250.0,593810.3500000001,599060.3500000001,0.08799374266718811
0.8300000000000001,34,131,185,5100.0,604624.1500000001,609724.1500000001,0.08564724286272976
0.8400000000000001,34,133,183,5100.0,607165.01,612265.01,0.08486507626124365
0.85,33,134,182,4950.0,607634.1299999999,612584.1299999999,0.08408290965975752
0.86,31,137,179,4650.0,614188.7200000001,618838.7200000001,0.08212749315604223
0.87,31,139,177,4650.0,617618.27,622268.27,0.08134532655455612
0.88,30,144,172,4500.0,631392.9400000001,635892.9400000001,0.07899882675009777
0.89,26,145,171,3900.0,636835.4400000001,640735.4400000001,0.07704341024638248
0.9,25,148,168,3750.0,661560.3300000001,665310.3300000001,0.07547907704341025
0.91,24,157,159,3600.0,690214.89,693814.89,0.07156824403597967
0.92,21,162,154,3150.0,715730.89,718880.89,0.06843957763003519
0.93,19,168,148,2850.0,741165.1000000001,744015.1000000001,0.06531091122409073
0.9400000000000001,17,181,135,2550.0,803683.75,806233.75,0.05944466171294486
0.9500000000000001,15,196,120,2250.0,837469.47,839719.47,0.05279624560031287
0.9600000000000001,13,208,108,1950.0,892225.84,894175.84,0.04732107938991005
0.97,11,229,87,1650.0,918955.5700000001,920605.5700000001,0.03832616347281971
0.98,10,254,62,1500.0,990969.98,992469.98,0.028157997653500196
0.99,3,288,28,450.0,1115295.0899999999,1115745.0899999999,0.012123582323034806
