cluster_id,size,shares_device,shares_payment,shares_address,shares_device_and_payment,avg_account_age,account_age_std,avg_return_rate,max_return_rate,avg_abusive_return_rate,max_abusive_return_rate,avg_total_orders,is_true_ring
1292,4,1,1,0,1,877.5,552.6906910741305,0.22499999999999998,0.5,0.08333333333333333,0.3333333333333333,11.0,1
1302,9,1,1,0,1,695.1111111111111,411.4563902907708,0.2506513548180215,0.6666666666666666,0.0,0.0,9.555555555555555,1
1337,6,1,1,0,1,583.1666666666666,427.7678887745861,0.19027777777777777,0.6,0.16666666666666666,1.0,6.333333333333333,1
1346,3,0,0,1,0,782.0,407.3278777594286,0.08333333333333333,0.25,0.0,0.0,7.666666666666667,0
1355,2,0,0,1,0,489.0,329.51176003293114,0.0,0.0,0.0,0.0,5.0,0
1359,2,0,1,1,0,587.0,145.6639969244288,0.3392857142857143,0.42857142857142855,0.0,0.0,7.5,0
1384,2,0,0,1,0,865.0,104.65180361560904,0.1,0.2,0.0,0.0,7.5,0
1423,5,1,1,0,1,924.6,339.37191987552535,0.24230769230769234,0.3333333333333333,0.2,0.5,9.4,1
1429,2,0,0,1,0,502.5,61.518289963229634,0.07142857142857142,0.14285714285714285,0.0,0.0,5.0,0
1451,2,0,0,1,0,687.0,50.91168824543142,0.25,0.5,0.0,0.0,5.5,0
1514,3,0,0,1,0,661.0,102.13226718329521,0.1952380952380952,0.3,0.0,0.0,8.333333333333334,0
1524,2,0,0,1,0,668.0,780.6458864299485,0.1111111111111111,0.2222222222222222,0.0,0.0,5.0,0
1557,3,1,1,0,1,730.3333333333334,478.4028985419438,0.05128205128205129,0.15384615384615385,0.0,0.0,8.0,1
1588,3,0,0,1,0,985.0,167.86006076491216,0.09761072261072261,0.125,0.0,0.0,10.666666666666666,0
1622,3,0,1,1,0,917.3333333333334,366.39641555743054,0.20634920634920637,0.3333333333333333,0.0,0.0,9.0,0
1714,2,0,0,1,0,800.5,908.6322138247135,0.20238095238095238,0.3333333333333333,0.0,0.0,8.5,0
1718,2,0,1,1,0,748.0,776.4032457428292,0.1875,0.25,0.0,0.0,6.0,0
1779,3,1,0,0,0,383.0,328.3641271515511,0.4666666666666666,0.5,0.2333333333333333,0.5,5.666666666666667,1
1797,3,0,0,1,0,1127.0,531.4856536163511,0.2909090909090909,0.5,0.0,0.0,9.0,0
1861,4,1,1,0,1,1241.75,112.32801668921843,0.29235819327731094,0.4375,0.03571428571428571,0.14285714285714285,15.5,1
1862,2,0,0,1,0,581.0,758.0184694319789,0.08333333333333333,0.16666666666666666,0.0,0.0,6.5,0
1867,2,0,1,1,0,247.0,336.5828278447966,0.4375,0.5,0.0,0.0,5.0,0
1908,5,1,1,1,1,365.8,336.50438332954894,0.20888888888888885,0.6,0.0,0.0,3.8,1
2004,3,0,0,1,0,1158.3333333333333,502.7368430235975,0.2294973544973545,0.2857142857142857,0.0,0.0,13.333333333333334,0
2023,2,0,0,1,0,302.0,117.37972567696688,0.125,0.25,0.0,0.0,4.5,0
2052,3,0,1,1,0,235.33333333333334,257.5040452756681,0.25,0.5,0.0,0.0,3.0,0
2069,2,0,0,1,0,507.0,260.2152954766495,0.35,0.4,0.0,0.0,7.5,0
2078,3,0,0,1,0,546.6666666666666,623.896091775973,0.3238095238095238,0.5,0.0,0.0,7.0,0
2090,2,0,0,1,0,907.0,779.2316728675754,0.07692307692307693,0.15384615384615385,0.0,0.0,9.0,0
2108,2,0,0,1,0,587.5,490.0249993622774,0.33035714285714285,0.375,0.0,0.0,7.5,0
2152,2,0,0,1,0,757.5,152.02795795510772,0.2222222222222222,0.2222222222222222,0.0,0.0,9.0,0
2194,2,0,0,1,0,880.0,873.9839815465727,0.10526315789473684,0.21052631578947367,0.0,0.0,10.0,0
2297,2,0,0,1,0,771.5,334.46150750123695,0.25,0.3333333333333333,0.0,0.0,4.5,0
2314,2,0,0,1,0,917.5,709.2281015301072,0.20833333333333331,0.25,0.25,0.5,8.0,0
2315,2,0,1,1,0,684.5,564.9783181680515,0.3205128205128205,0.3333333333333333,0.375,0.75,8.0,0
2318,3,0,0,1,0,880.6666666666666,186.88588318365123,0.047619047619047616,0.14285714285714285,0.0,0.0,8.666666666666666,0
2347,2,0,0,1,0,780.0,557.2001435749994,0.10714285714285714,0.21428571428571427,0.0,0.0,8.5,0
2375,2,0,0,1,0,544.0,367.6955262170047,0.5625,1.0,0.0,0.0,4.5,0
2378,3,0,1,1,0,898.6666666666666,393.519165141081,0.196969696969697,0.3333333333333333,0.3333333333333333,1.0,9.666666666666666,0
2419,2,0,0,1,0,721.0,523.2590180780452,0.7,1.0,0.0,0.0,6.5,0
2443,3,0,0,1,0,898.3333333333334,476.50428469567123,0.20418470418470416,0.3333333333333333,0.0,0.0,13.0,0
2451,3,0,0,1,0,642.3333333333334,156.72055810688443,0.08465608465608465,0.14285714285714285,0.0,0.0,6.666666666666667,0
2457,3,0,0,1,0,582.6666666666666,632.9181095002207,0.20634920634920637,0.3333333333333333,0.0,0.0,7.0,0
2670,2,0,0,1,0,545.0,493.5605332682102,0.0,0.0,0.0,0.0,4.0,0
2710,2,0,0,1,0,592.0,547.3006486383878,0.55,1.0,0.0,0.0,5.5,0
2762,2,0,0,1,0,1224.0,289.9137802864845,0.17857142857142855,0.19047619047619047,0.0,0.0,13.5,0
2772,2,0,0,1,0,946.5,67.17514421272202,0.041666666666666664,0.08333333333333333,0.0,0.0,9.5,0
2779,3,0,1,1,0,876.3333333333334,448.0729107336587,0.2625,0.6,0.0,0.0,9.666666666666666,0
2797,2,0,0,1,0,693.0,651.9524522539969,0.0,0.0,0.0,0.0,7.5,0
2856,2,0,0,1,0,446.0,523.2590180780452,0.6111111111111112,1.0,0.0,0.0,5.0,0
2874,3,0,0,1,0,801.3333333333334,168.0902535346215,0.24458874458874458,0.5,0.0,0.0,9.333333333333334,0
2942,3,0,0,1,0,460.3333333333333,386.2412890064102,0.35000000000000003,0.5,0.0,0.0,5.333333333333333,0
3293,2,0,0,1,0,1302.0,114.5512985522207,0.1736111111111111,0.2222222222222222,0.0,0.0,17.0,0
3310,2,0,1,1,0,989.0,381.8376618407357,0.5833333333333333,0.6666666666666666,0.0,0.0,9.0,0
3333,2,0,0,1,0,681.5,7.7781745930520225,0.125,0.25,0.0,0.0,7.0,0
3435,2,0,0,1,0,1038.0,11.313708498984761,0.24080882352941177,0.29411764705882354,0.0,0.0,16.5,0
3455,2,0,1,1,0,604.0,664.6803743153547,0.0,0.0,0.0,0.0,8.0,0
3467,2,0,0,1,0,181.5,157.6848122046001,0.3333333333333333,0.6666666666666666,0.0,0.0,2.0,0
3477,2,0,1,1,0,593.5,747.4118677141807,0.03571428571428571,0.07142857142857142,0.0,0.0,7.5,0
3489,2,0,0,1,0,1191.5,382.54476862192223,0.038461538461538464,0.07692307692307693,0.0,0.0,9.0,0
3494,2,0,1,1,0,965.0,301.22748878546923,0.15656565656565657,0.2222222222222222,0.0,0.0,10.0,0
3605,3,0,0,1,0,959.6666666666666,371.1675273152722,0.26851851851851855,0.3333333333333333,0.13333333333333333,0.4,9.333333333333334,0
3607,3,0,0,1,0,589.0,595.435974727762,0.24183006535947713,0.6666666666666666,0.25,0.75,8.0,0
3745,2,0,1,1,0,221.5,252.43712088359746,0.0,0.0,0.0,0.0,2.5,0
4076,3,0,0,1,0,728.6666666666666,695.4367931978674,0.13848631239935588,0.30434782608695654,0.0,0.0,11.0,0
4199,3,0,0,1,0,863.0,412.56393443925754,0.37254901960784315,1.0,0.0,0.0,8.333333333333334,0
4219,2,0,0,1,0,1157.5,44.54772721475249,0.07692307692307693,0.15384615384615385,0.0,0.0,10.5,0
4298,3,0,0,1,0,908.6666666666666,483.1690525409645,0.08333333333333333,0.25,0.0,0.0,8.0,0
4423,2,0,1,1,0,1124.0,239.00209204105306,0.19642857142857142,0.25,0.0,0.0,11.0,0
4432,2,0,0,1,0,1153.0,217.78888860545663,0.22875816993464052,0.23529411764705882,0.0,0.0,13.0,0
4599,2,0,0,1,0,457.5,156.27059864222701,0.0,0.0,0.0,0.0,2.5,0
5454,2,0,0,1,0,774.0,975.8073580374356,0.13333333333333333,0.2,0.0,0.0,10.0,0
